title,rating,category_name
Aladdin and His Wonderful Lamp,3,Default
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,3,Nonfiction
Penny Maybe,3,Default
Slow States of Collapse: Poems,3,Poetry
Unicorn Tracks,3,Fantasy
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,3,Nonfiction
The Natural History of Us (The Fine Art of Pretending #2),3,Young Adult
The Murder That Never Was (Forensic Instincts #5),3,Fiction
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,3,Nonfiction
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",3,Health
The Art Forger,3,Add a comment
"Saga, Volume 6 (Saga (Collected Editions) #6)",3,Fantasy
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",3,Sequential Art
Patience,3,Sequential Art
On a Midnight Clear,3,Add a comment
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",3,Sequential Art
"Starving Hearts (Triangular Trade Trilogy, #1)",2,Default
Libertarianism for Beginners,2,Politics
It's Only the Himalayas,2,Travel
How Music Works,2,Music
Maude (1883-1993):She Grew Up with the country,2,Default
You can't bury them all: Poems,2,Poetry
Reasons to Stay Alive,2,Nonfiction
Without Borders (Wanderlove #1),2,New Adult
Soul Reader,2,Default
Security,2,Horror
"Saga, Volume 5 (Saga (Collected Editions) #5)",2,Sequential Art
Reskilling America: Learning to Labor in the Twenty-First Century,2,Nonfiction
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",2,History
Obsidian (Lux #1),2,Young Adult
My Paris Kitchen: Recipes and Stories,2,Food and Drink
Masks and Shadows,2,Fantasy
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",2,Sequential Art
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),2,Sequential Art
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),2,Add a comment
Tipping the Velvet,1,Historical Fiction
Soumission,1,Fiction
The Requiem Red,1,Young Adult
The Black Maria,1,Poetry
Olio,1,Poetry
Mesaerion: The Best Science Fiction Stories 1800-1849,1,Science Fiction
In Her Wake,1,Thriller
The Bear and the Piano,1,Childrens
"In a Dark, Dark Wood",1,Mystery
When We Collided,1,Contemporary
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",1,History
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),1,Sequential Art
The Torch Is Passed: A Harding Family Story,1,Add a comment
The Secret of Dreadwillow Carse,1,Childrens
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",1,Food and Drink
The Gutsy Girl: Escapades for Your Life of Epic Adventure,1,Nonfiction
The Electric Pencil: Drawings from Inside State Hospital No. 3,1,Nonfiction
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,1,History
"Pop Gun War, Volume 1: Gift",1,Sequential Art
orange: The Complete Collection 1 (orange: The Complete Collection #1),1,Sequential Art
Online Marketing for Busy Authors: A Step-By-Step Guide,1,Self Help
"Layered: Baking, Building, and Styling Spectacular Cakes",1,Food and Drink
