title,category,price_gbp,rating,in_stock,price_inr
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,16.28,1,True,1717.54
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,31.12,3,True,3283.16
This One Summer,Sequential Art,19.49,4,True,2056.19
Thirst,Fiction,17.27,5,True,1821.98
The Torch Is Passed: A Harding Family Story,Add a comment,19.09,1,True,2014.0
The Secret of Dreadwillow Carse,Childrens,56.13,1,True,5921.72
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Food and Drink,56.41,1,True,5951.25
The Past Never Ends,Mystery,56.5,4,True,5960.75
The Natural History of Us (The Fine Art of Pretending #2),Young Adult,45.22,3,True,4770.71
The Nameless City (The Nameless City #1),Sequential Art,38.16,4,True,4025.88
The Murder That Never Was (Forensic Instincts #5),Fiction,54.11,3,True,5708.6
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Science,42.96,4,True,4532.28
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Add a comment,23.89,4,True,2520.4
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Nonfiction,16.77,3,True,1769.24
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Default,20.59,5,True,2172.24
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Nonfiction,37.13,1,True,3917.22
The Electric Pencil: Drawings from Inside State Hospital No. 3,Nonfiction,56.06,1,True,5914.33
The Death of Humanity: and the Case for Life,Philosophy,58.11,4,True,6130.6
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Health,49.05,3,True,5174.77
The Art Forger,Add a comment,40.76,3,True,4300.18
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,History,19.73,1,True,2081.52
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Spirituality,32.24,5,True,3401.32
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Nonfiction,41.83,4,True,4413.06
Soul Reader,Default,39.58,2,True,4175.69
Security,Horror,39.25,2,True,4140.88
"Saga, Volume 6 (Saga (Collected Editions) #6)",Fantasy,25.02,3,True,2639.61
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,51.04,2,True,5384.72
Reskilling America: Learning to Labor in the Twenty-First Century,Nonfiction,19.83,2,True,2092.06
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,50.4,3,True,5317.2
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,13.61,5,True,1435.86
Princess Between Worlds (Wide-Awake Princess #5),Fantasy,13.34,5,True,1407.37
"Pop Gun War, Volume 1: Gift",Sequential Art,18.97,1,True,2001.33
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",History,36.28,2,True,3827.54
Patience,Sequential Art,10.16,3,True,1071.88
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,15.44,4,True,1628.92
orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,48.41,1,True,5107.25
Online Marketing for Busy Authors: A Step-By-Step Guide,Self Help,46.35,1,True,4889.92
On a Midnight Clear,Add a comment,14.07,3,True,1484.38
Obsidian (Lux #1),Young Adult,14.86,2,True,1567.73
My Paris Kitchen: Recipes and Stories,Food and Drink,33.37,2,True,3520.54
Masks and Shadows,Fantasy,56.4,2,True,5950.2
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Food and Drink,14.02,4,True,1479.11
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,46.91,2,True,4949.0
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,45.61,3,True,4811.85
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,19.92,2,True,2101.56
"Layered: Baking, Building, and Styling Spectacular Cakes",Food and Drink,40.11,1,True,4231.6
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Add a comment,53.9,2,True,5686.45
Join,Science Fiction,35.67,5,True,3763.19
In the Country We Love: My Family Divided,Nonfiction,22.0,4,True,2321.0
